sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
4327183,Ag,344,['ClC(Cl)Cl'],4,1.9533072620390057,,,3.7,0.1104968117967854,0.0014617890141391107,0.04858058764829427,0.2999906851890618
1520554,Co,416,['c1ccccc1'],6,1.8837426191517914,1.9852740756523242,3.6,3.6,0.04978556672996269,0.003475021588458741,0.11074918336758909,0.08896583255126464
1567159,Co,450,[],5,1.8718501006789399,2.1967068566276655,3.95,3.6,0.02214652197895265,0.2807422053017212,0.12164035682993345,0.22763914707373312
1507269,Co,558,['C(#N)C'],5,1.878545816508475,2.20517860997902,3.95,3.6,0.0032680780372870933,0.26161914510638845,0.06541928154216083,0.15358197224496395
4103382,Mn,468,[],5,1.9128705482104051,2.1269671559499925,3.5999999999999996,3.65,0.005235885274822518,0.27604276949073697,0.10842977175519151,0.1528031212046615
4515932,Pt,446,[],6,1.9518871680915875,2.123953072663057,3.7,3.65,0.0030929420953899117,0.018097054338650432,0.08592665363479383,0.143159441791042
7214135,Co,504,[],6,1.879182874726423,1.9941979859892163,3.6,3.6,0.004699567416888218,0.006605701854669541,0.10762435827030388,0.10092724488207044
4114907,Co,714,['c1ccccc1'],5,1.8579391839778632,2.216560498473931,3.95,3.6,0.01075849866441041,0.2640105572371758,0.14307589424868858,0.19289943785690816
4513497,Cu,404,['ClC(Cl)Cl'],4,1.8930677344082967,,,3.6,0.13967439486984334,0.020419595458710558,0.21574798880182958,0.37792463212159133
7710982,Au,546,[],4,1.9524380950714857,,,3.7,0.007589433300658399,0.02487072441832745,0.14682891377397034,0.16716259617318643
4321107,Fe,436,['c1ccccc1'],5,1.9009460760694794,2.2378735098648894,3.8499999999999996,3.65,0.0017727456829557797,0.36701424164821617,0.17199527382196309,0.18751982099045714
7124121,Co,576,['C(CCC)CC'],5,1.8845505834885385,2.2189697168093576,3.95,3.6,0.006514736770203,0.2986225257076233,0.10876949453224667,0.2803360296627009
4103378,Mn,738,[],5,1.9291834548144544,2.1533552223553363,3.5999999999999996,3.65,0.007495440255419039,0.22143819916182253,0.024442468312321098,0.11214579401398103
4084537,Sn,436,['C(Cl)Cl'],4,2.0624731965754357,,,3.85,0.025436978172255993,0.762722306956454,0.13389545109511658,0.49532170038079004
7243790,Au,390,[],4,1.9551187396229723,,,3.7,0.026260915735966006,0.0013335647208906,0.06425438854440116,0.2638087911082872
4107919,Ir,810,['C(Cl)Cl'],6,1.9744892574467554,2.1891711356214403,3.6,3.6,0.007458727316248595,0.0013042939601562165,0.08828908770810324,0.0730975935763167
7031337,Sn,412,[],4,2.0388942724672257,,,3.85,0.00959505807807377,0.6114331557142874,0.14313431096905413,0.435816886986253
7100412,Rh,538,['C(CCCC)C'],6,1.95057712426473,2.0388348848739684,3.6,3.6,0.0035067192334416212,0.0011297428775311443,0.1302678459159112,0.20859875313052645
7060416,Co,532,[],5,1.8738290872481171,2.205380492364073,3.95,3.6,0.01098654122472413,0.2747322016904341,0.15677804465313597,0.17681449598543234
4103379,Mn,522,[],5,1.9090718590583722,2.1991208131707998,3.5999999999999996,3.65,0.00271386304118307,0.23943659487877714,0.04477487617891055,0.11697972725519658
4515971,Cu,754,['c1(c(cccc1)Cl)Cl'],4,1.9210791654681887,,,3.6,0.13436464588297717,0.003387216167166062,0.049995247274896716,0.6436670910876832
4331976,Fe,338,['c1ccccc1'],5,1.913193797118895,1.6449551719056055,3.65,3.65,0.03331572312220178,0.4554656015541614,0.09530782176940318,0.16951429023003523
4513498,Cu,422,['ClCCl'],4,1.8892000042780457,,,3.6,0.15406993883465403,0.004205739466268278,0.09929282717052738,0.2981546921794774
4339319,Ag,422,[],4,1.9622053753102127,,,3.7,0.053138643342926166,0.006102518347448124,0.07007304290659798,0.24476119032922838
7227530,Co,536,[],6,1.88748308367208,2.0009773981606873,3.6,3.6,0.003013400711159617,0.0011950917146184706,0.10759219170211358,0.1767454614655549
7108513,Ti,434,[],5,2.0485299776615977,2.3766271650624966,3.8499999999999996,3.75,0.009841882681812242,0.8201669897648787,0.30054037004012596,0.4901551734585784
7109049,La,494,['O(C)CCOC'],4,2.437143611396663,,,4.1,0.0014889493767610543,1.468696575101348,0.31812645019799873,0.7046981150184497
4338050,Fe,364,[],5,1.8755629319819713,1.9873160969830643,3.75,3.65,0.0061461985375626475,0.25244874443939935,0.056056290614468395,0.1838769186317727
7120023,Co,590,['ClCCl'],6,1.8809968678773288,1.9670788063359943,3.6,3.6,0.01139374970508241,0.0014647330458951186,0.12043361137171153,0.12372707639593468
7112064,Ti,376,[],5,1.9905144408108488,2.2200303441266294,3.95,3.75,0.0037109166530472962,0.6673732066795287,0.2114390506986644,0.40082406897721123
7060415,Co,532,[],5,1.8814009893863086,2.208754714948222,3.95,3.6,0.016448210832254534,0.2875271435738116,0.19015304059526772,0.27355898229742864
4349427,Ru,420,[],5,1.9486709174124113,1.6154633652621158,3.65,3.65,0.011739863612473086,0.5581107692362408,0.07237541300045322,0.261937163529509
7049490,Co,568,['C(CC)CCC'],6,1.8894649066891085,2.0035147478766016,3.6,3.6,0.0048547424965758295,0.0012966698536701394,0.06301339413823061,0.06242345412023716
4324827,Co,414,[],5,1.8823259780030708,2.2126587391107106,3.95,3.6,0.00923155057867463,0.2744531189967581,0.09356646293113186,0.16143619804277382
4111293,Mn,466,['O(CC)C(=O)C'],5,1.9107925895508138,2.1717194482241484,3.5999999999999996,3.65,0.005049861585538575,0.21612541593949652,0.04356313722443866,0.19591067672456447
7031338,Sn,376,[],4,2.0477301087323436,,,3.85,0.007620507448021304,0.6514852541306986,0.1290476754229022,0.4392325315573079
4302942,Cu,318,[],4,1.9020975845122703,,,3.6,0.17684884574944582,0.03283544667330413,0.058040317815656016,0.2934112196267541
7041455,Ta,444,['Cc1ccccc1'],6,2.070008990057368,2.374253373592784,4.0,3.8000000000000003,0.005169492806687415,0.9029675058042096,0.20831406288458254,0.38618410229527256
4327184,Au,376,[],4,1.9474424033651654,,,3.7,0.026098229065951613,0.0010987370712124919,0.06400726728995873,0.25892206679498986
7049489,Co,632,['C(Cl)Cl'],6,1.886166756432636,1.993235494457397,3.6,3.6,0.026658248343648765,0.0024323551507854342,0.09947387730472339,0.29165752424641206
4339998,Sn,452,['C(CC)CC'],4,2.0829178978839553,,,3.85,0.003186454835943577,0.7756504244881132,0.14886481754970196,0.43612354784572194
7243791,Re,408,['CCCCCC'],5,2.007658243083158,1.680799262603658,3.5999999999999996,3.65,0.008373567567842043,0.7057492396777675,0.13820507744529206,0.3848787976722436
7031339,Sn,398,[],4,2.0411984514277948,,,3.85,0.009326914586944589,0.6288167760723721,0.2910402539196634,0.4217056272793186
7132377,Zn,372,[],4,2.003517083641618,,,3.7,0.02274615418601284,0.5005823207828732,0.2593186624425076,0.31315804167442474
4349426,Ru,324,[],5,1.983279189538196,1.6132982955030357,3.65,3.65,0.01663793355044839,0.6049953124007579,0.031673714610540804,0.275893675298609
4103377,Mn,466,[],5,1.9163300681067268,2.198030878409355,3.5999999999999996,3.65,0.005473318560278697,0.22994650813388293,0.039578772313889635,0.1269820830797298
7112063,Ti,408,[],5,1.9923236219281972,2.03129365686845,3.8499999999999996,3.75,0.01639832354485988,0.6563312996958246,0.30009742701557657,0.3091930545011691
4321108,Rh,576,[],5,1.9673545065727747,2.2216375298454962,3.95,3.6,0.009765671269088843,0.2765285311121731,0.169310668525386,0.4044004360436484
7041454,Ta,450,['c1c(cccc1)C'],5,2.0653297395252093,1.7784115361751904,3.8000000000000003,3.8000000000000003,0.0036556915578443913,0.7750914569742061,0.12161127327950344,0.3319220105564444
7036483,Ir,586,['ClCCl'],6,1.9521159527747152,2.05287451347237,3.6,3.6,0.0010737986075261509,0.005882709048164493,0.13135720549264676,0.11094902452779018
7124122,Fe,452,[],5,1.9059311686465126,1.6346746973492923,3.65,3.65,0.01630723701363853,0.41401377271662354,0.03354085399515357,0.10872811457111536
7240855,Mn,420,['OCC'],4,1.9222165056245453,,,3.65,0.008762742729972177,0.28603764434594137,0.17771488027841378,0.3036988703179919
1548426,Co,680,['ClC(Cl)Cl'],6,1.8955170745730423,1.980998532391681,3.6,3.6,0.00826908932187254,0.014459704543495567,0.33804277361308027,0.15097081336656132
7043621,Cu,406,[],4,1.9001568433886167,,,3.6,0.1467341618583459,0.00047992012869954565,0.07604555787415142,0.35638569849064317
7120022,Co,598,[],5,1.8749697244659438,2.190474743937259,3.95,3.6,0.0021288528900039873,0.26200645475321915,0.0573780527941992,0.14907520168571126
